Pozycja w cenniku;Obecna stawka;Nowa stawka wg indeksacji z propozycji;Różnica procentowa;Nowa stawka wg indeksacji z obecnej umowy
KURIERZY - United Kingdom - DHL Parcel - 15 kg (FC3, FC4);x;130,49 zł;x;0,00 zł
KURIERZY - United Kingdom - DHL Parcel - 20 kg (FC3, FC4);x;130,49 zł;x;0,00 zł
KURIERZY - Italy - DHL Parcel - 1 kg (FC3, FC4);x;51,39 zł;x;0,00 zł
KURIERZY - Italy - DHL Parcel - 2 kg (FC3, FC4);x;63,89 zł;x;0,00 zł
KURIERZY - Italy - DHL Parcel - 5 kg (FC3, FC4);x;63,89 zł;x;0,00 zł
KURIERZY - Italy - DHL Parcel - 10 kg (FC3, FC4);x;88,89 zł;x;0,00 zł
KURIERZY - Italy - DHL Parcel - 15 kg (FC3, FC4);x;130,49 zł;x;0,00 zł
KURIERZY - Italy - DHL Parcel - 20 kg (FC3, FC4);x;130,49 zł;x;0,00 zł
KURIERZY - STREFA 1 - DHL Express LOTNIK - 1 kg (FC3, FC4);x;80,09 zł;x;0,00 zł
KURIERZY - STREFA 1 - DHL Express LOTNIK - 2 kg (FC3, FC4);x;101,19 zł;x;0,00 zł
KURIERZY - STREFA 1 - DHL Express LOTNIK - 5 kg (FC3, FC4);x;126,99 zł;x;0,00 zł
KURIERZY - STREFA 1 - DHL Express LOTNIK - 10 kg (FC3, FC4);x;205,09 zł;x;0,00 zł
KURIERZY - STREFA 1 - DHL Express LOTNIK - 15 kg (FC3, FC4);x;359,49 zł;x;0,00 zł
KURIERZY - STREFA 1 - DHL Express LOTNIK - 20 kg (FC3, FC4);x;489,19 zł;x;0,00 zł
KURIERZY - STREFA 2 - DHL Express LOTNIK - 1 kg (FC3, FC4);x;97,69 zł;x;0,00 zł
KURIERZY - STREFA 2 - DHL Express LOTNIK - 2 kg (FC3, FC4);x;121,29 zł;x;0,00 zł
KURIERZY - STREFA 2 - DHL Express LOTNIK - 5 kg (FC3, FC4);x;152,79 zł;x;0,00 zł
KURIERZY - STREFA 2 - DHL Express LOTNIK - 10 kg (FC3, FC4);x;237,69 zł;x;0,00 zł
KURIERZY - STREFA 2 - DHL Express LOTNIK - 15 kg (FC3, FC4);x;417,99 zł;x;0,00 zł
KURIERZY - STREFA 2 - DHL Express LOTNIK - 20 kg (FC3, FC4);x;569,39 zł;x;0,00 zł
KURIERZY - STREFA 3 - DHL Express LOTNIK - 1 kg (FC3, FC4);x;135,49 zł;x;0,00 zł
KURIERZY - STREFA 3 - DHL Express LOTNIK - 2 kg (FC3, FC4);x;166,39 zł;x;0,00 zł
KURIERZY - STREFA 3 - DHL Express LOTNIK - 5 kg (FC3, FC4);x;209,99 zł;x;0,00 zł
KURIERZY - STREFA 3 - DHL Express LOTNIK - 10 kg (FC3, FC4);x;315,89 zł;x;0,00 zł
KURIERZY - STREFA 3 - DHL Express LOTNIK - 15 kg (FC3, FC4);x;561,29 zł;x;0,00 zł
KURIERZY - STREFA 3 - DHL Express LOTNIK - 20 kg (FC3, FC4);x;768,59 zł;x;0,00 zł
KURIERZY - STREFA 4 - DHL Express LOTNIK - 1 kg (FC3, FC4);x;142,89 zł;x;0,00 zł
KURIERZY - STREFA 4 - DHL Express LOTNIK - 2 kg (FC3, FC4);x;191,69 zł;x;0,00 zł
KURIERZY - STREFA 4 - DHL Express LOTNIK - 5 kg (FC3, FC4);x;237,19 zł;x;0,00 zł
KURIERZY - STREFA 4 - DHL Express LOTNIK - 10 kg (FC3, FC4);x;398,29 zł;x;0,00 zł
KURIERZY - STREFA 4 - DHL Express LOTNIK - 15 kg (FC3, FC4);x;692,79 zł;x;0,00 zł
KURIERZY - STREFA 4 - DHL Express LOTNIK - 20 kg (FC3, FC4);x;938,99 zł;x;0,00 zł
KURIERZY - STREFA 5 - DHL Express LOTNIK - 1 kg (FC3, FC4);x;211,59 zł;x;0,00 zł
KURIERZY - STREFA 5 - DHL Express LOTNIK - 2 kg (FC3, FC4);x;294,09 zł;x;0,00 zł
KURIERZY - STREFA 5 - DHL Express LOTNIK - 5 kg (FC3, FC4);x;395,59 zł;x;0,00 zł
KURIERZY - STREFA 5 - DHL Express LOTNIK - 10 kg (FC3, FC4);x;771,29 zł;x;0,00 zł
KURIERZY - STREFA 5 - DHL Express LOTNIK - 15 kg (FC3, FC4);x;1 331,79 zł;x;0,00 zł
KURIERZY - STREFA 5 - DHL Express LOTNIK - 20 kg (FC3, FC4);x;1 799,09 zł;x;0,00 zł
KURIERZY - STREFA 6 - DHL Express LOTNIK - 1 kg (FC3, FC4);x;111,29 zł;x;0,00 zł
KURIERZY - STREFA 6 - DHL Express LOTNIK - 2 kg (FC3, FC4);x;140,39 zł;x;0,00 zł
KURIERZY - STREFA 6 - DHL Express LOTNIK - 5 kg (FC3, FC4);x;180,89 zł;x;0,00 zł
KURIERZY - STREFA 6 - DHL Express LOTNIK - 10 kg (FC3, FC4);x;291,29 zł;x;0,00 zł
KURIERZY - STREFA 6 - DHL Express LOTNIK - 15 kg (FC3, FC4);x;513,69 zł;x;0,00 zł
KURIERZY - STREFA 6 - DHL Express LOTNIK - 20 kg (FC3, FC4);x;700,89 zł;x;0,00 zł
